49,Region 5,BTS Ocolusen - RB Bugambilias,MORELIA,
167,Region 9,BTS Ocoyoacac Centro - BTS Barrio San Juan,TOLLOCAN,
103,Region 5,BTS Ojo de Agua - RB Mololoa,VALLARTA - NAYARIT,
1,Region 9,BTS Olimpica - BTS Jardin,OAXACA,
37,Region 4,BTS Olimpico - RB Sierra Madre,ZONA SAN PEDRO,
50,Region 6,BTS OMEGA - RB DOLORES HIDALGO,QUERETARO,
4,Region 6,BTS ORO - RB RENACIMIENTO,ENLACE,
95,Region 6,BTS ORQUIDEA - RB PROGRESO,SAN LUIS POTOSI,
34,Region 1,BTS Otay Cali - BTS Jardín Dorado,R1- OTAY - T,
80,Region 4,BTS Palenque - RB Niños Heroes,ZONA REYNOSA,
29,Region 8,BTS Palmas - RB La Salle,TUXTLA,
66,Region 1,BTS Palmira - RB Obregón,MEXICALI,
26,Region 7,BTS Palo Verde - BTS Argos,XALAPA,
38,Region 6,BTS PALOMARES - RB ANDRADE,LEON,
86,Region 9,BTS Panteon Los Rosales - RB Chimalpa,NEZA,
102,Region 9,BTS Panteon San Isidro II - BTS Aquiles Serdan,NEXTENGO,
40,Region 9,BTS Panteon Xoco - - RB General Anaya,PORTALES,
27,Region 6,BTS PARAISO - RB SAN FCO DEL RINCON,LEON,
19,Region 3,BTS Parajes - BTS Medio Oriente,JUAREZ,
70,Region 5,BTS Parque Industrial - RB El Trece,TLAQUEPAQUE - BANDERAS,
30,Region 1,BTS Parque Internacional - MC Tip,R1- OTAY - T,
121,Region 9,BTS Parque Lincoln - RB Homero,POPOTLA,
111,Region 9,BTS Parque Tezozomoc - RB Tezozomoc,NEXTENGO,
68,Region 7,BTS Paseo Bravo - RB Reforma,PUEBLA - TLAXCALA,
30,Region 2,BTS Paseo San Angel - BTS Montecarlo,HERMOSILLO,
9,Region 6,BTS PATRIA - RB BOULEVARES,AGUASCALIENTES,
75,Region 1,BTS Patzcuaro - RBS Ejido Toluca,MEXICALI,
90,Region 9,BTS Penitenciaria Pachuca - RB Fracc. El Palmar,REVOLUCION,
69,Region 6,BTS PEÑA DE BERNAL - RB EZEQUIEL MONTES,QUERETARO,
16,Region 8,BTS Periférico - RB Villaverde,VILLAHERMOSA,
71,Region 2,BTS Pescador - MSC Mazatlan,MAZATLAN,
11,Region 1,BTS Picacho - RB Chulavista,LOMAS,
51,Region 6,BTS PINGUICA - RB SAN JULIAN,QUERETARO,
61,Region 9,BTS Piramides Tulancingo - RB San Martin de las Piramides,ECATEPEC,
15,Region 7,BTS Pirata Fuentes - RB Villa del Mar,VERACRUZ,
33,Region 9,BTS Playa Manzanillo - RB Caleta,PORTALES,
